
## Unit 1 Animal Friends（动物朋友）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
| 46 | app (=application) | /æp/ | n. | 应用程序 | 应用程序 |
| 47 | progress | /ˈprəʊɡres/ | n. | 进步；进展 | ⭐make progress 取得进步 |
| 48 | match | /mætʃ/ | n. | 比赛；竞赛 | 复数：matches；⭐play matches 打比赛 |
| 49 | team | /tiːm/ | n. | 队；组 | 复数：teams；⭐team spirit 团队精神 |
| 50 | ours | /ˈaʊəz/ | pron. | 我们的（所有物） | 名词性物主代词 |
| 51 | lose | /luːz/ | v. | 输掉；丢失 | ⭐lose a match 输掉比赛；时态：lost-lost-losing |
| 52 | teenager | /ˈtiːneɪdʒə(r)/ | n. | 青少年（13-19岁） | 复数：teenagers |

---

## Unit 4 Eat Well（吃得好）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
|------|------|------|------|------|--------------|
| 1 | watermelon | /ˈwɔːtəmelən/ | n. | 西瓜 | 复数：watermelons |
| 2 | cabbage | /ˈkæbɪdʒ/ | n. | 卷心菜 | 复数：cabbages |
| 3 | mutton | /ˈmʌtn/ | n. | 羊肉 | 不可数名词 |
| 4 | cookie | /ˈkʊki/ | n. | 曲奇饼 | 复数：cookies |
| 5 | onion | /ˈʌnjən/ | n. | 洋葱；葱头 | 复数：onions |
| 6 | dumpling | /ˈdʌmplɪŋ/ | n. | 饺子 | 复数：dumplings；⭐make dumplings 包饺子 |
| 7 | coffee | /ˈkɒfi/ | n. | 咖啡 | 不可数名词；⭐a cup of coffee 一杯咖啡 |
| 8 | bean | /biːn/ | n. | 豆 | 复数：beans；soybean 大豆 |
| 9 | chip | /tʃɪp/ | n. | 炸薯条 | 复数：chips；⭐fish and chips 炸鱼薯条 |
| 10 | fish and chips | /fɪʃ ənd tʃɪps/ | phr. | 炸鱼薯条 | - |
| 11 | salad | /ˈsæləd/ | n. | 沙拉；色拉 | ⭐a fruit salad 水果沙拉 |
| 12 | porridge | /ˈpɒrɪdʒ/ | n. | 粥；麦片粥 | 不可数名词 |
| 13 | waiter | /ˈweɪtə(r)/ | n. | （男）服务员 | 对应词：waitress（女服务员） |
| 14 | taste | /teɪst/ | v./n. | 有……味道；尝；味道 | ⭐taste + adj. 尝起来…… |
| 15 | anything | /ˈeniθɪŋ/ | pron. | 某物；任何事物 | 用于否定句、疑问句 |
| 16 | dish | /dɪʃ/ | n. | 一道菜；盘 | 复数：dishes；⭐do the dishes 清洗餐具 |
| 17 | choice | /tʃɔɪs/ | n. | 选择 | 复数：choices；⭐make a choice 做出选择 |
| 18 | meal | /miːl/ | n. | 餐（所吃的食物） | 复数：meals；⭐three meals a day 一日三餐 |
| 19 | pork | /pɔːk/ | n. | 猪肉 | 不可数名词 |
| 20 | strawberry | /ˈstrɔːbəri/ | n. | 草莓 | 复数：strawberries ❌（y变ies） |
| 21 | menu | /ˈmenjuː/ | n. | 菜单 | 复数：menus |
| 22 | customer | /ˈkʌstəmə(r)/ | n. | 顾客 | 复数：customers |
| 23 | serve | /sɜːv/ | v. | 提供；服务 | ⭐serve sb. sth. 给某人提供某物 |
| 24 | waitress | /ˈweɪtrəs/ | n. | 女服务员 | 对应词：waiter（男服务员） |
| 25 | sir | /sɜː(r)/ | n. | 先生 | - |
| 26 | go with | /ɡəʊ wɪð/ | phr. | 搭配；相配 | - |
| 27 | pear | /peə(r)/ | n. | 梨 | 复数：pears |
| 28 | too much | /tuː mʌtʃ/ | phr. | 太多 | ❌修饰不可数名词 |
| 29 | sugar | /ˈʃʊɡə(r)/ | n. | 糖 | 不可数名词 |
| 30 | improve | /ɪmˈpruːv/ | v. | 改进；改善 | 名词：improvement |
| 31 | habit | /ˈhæbɪt/ | n. | 习惯 | 复数：habits；⭐eating habits 饮食习惯 |
| 32 | fast food | /fæst fuːd/ | phr. | 快餐 | - |
| 33 | salt | /sɔːlt/ | n. | 盐 | 不可数名词；形容词：salty |
| 34 | fat | /fæt/ | n./adj. | 脂肪；肥胖的 | 复数：fats；比较级：fatter |
| 35 | put on | /pʊt ɒn/ | phr. | 增加（体重）；发胖 | ⭐put on weight 增加体重 |
| 36 | heart | /hɑːt/ | n. | 心脏；中心 | 复数：hearts |
| 37 | balanced | /ˈbælənst/ | adj. | 均衡的；平衡的 | 名词：balance；⭐balanced diet 均衡饮食 |
| 38 | balanced diet | /ˈbælənst ˈdaɪət/ | phr. | 均衡饮食 | - |
| 39 | too... to... | /tuː ... tuː .../ | phr. | 太……以至于不能…… | 表否定含义 |
| 40 | after all | /ˈɑːftə(r) ɔːl/ | phr. | 毕竟 | - |
| 41 | instead of | /ɪnˈsted ɒv/ | phr. | 代替；而不是 | instead of meat 代替肉类 |

---

## Unit 5 Here and Now（此时此刻）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
|------|------|------|------|------|--------------|
| 1 | moment | /ˈməʊmənt/ | n. | 时刻 | ⭐at the moment 此刻；right now 现在 |
| 2 | dragon | /ˈdræɡən/ | n. | 龙 | 复数：dragons |
| 3 | race | /reɪs/ | n. | 比赛 | 复数：races；⭐dragon boat race 龙舟比赛 |
| 4 | hold | /həʊld/ | v. | 拿着；抓住 | 时态：held-held-holding；⭐hold a meeting 举行会议 |
| 5 | message | /ˈmesɪdʒ/ | n. | 消息 | 复数：messages；⭐leave a message 留言 |
| 6 | online | /ˌɒnˈlaɪn/ | adj. | 在线的 | ⭐be online 在线 |
| 7 | chat | /tʃæt/ | v. | 聊天 | ⭐chat with sb. 与某人聊天；现在分词：chatting |
| 8 | visit | /ˈvɪzɪt/ | v./n. | 参观；拜访 | ⭐visit a museum 参观博物馆 |
| 9 | museum | /mjuˈziːəm/ | n. | 博物馆 | 复数：museums |
| 10 | exhibition | /ˌeksɪˈbɪʃn/ | n. | 展览 | 复数：exhibitions |
| 11 | gift | /ɡɪft/ | n. | 礼物 | 复数：gifts；同义词：present |
| 12 | send | /send/ | v. | 发送；寄 | ⭐send an email 发邮件；时态：sent-sent-sending |
| 13 | post | /pəʊst/ | v. | 邮寄；发布 | ⭐post a letter 寄信 |
| 14 | photo | /ˈfəʊtəʊ/ | n. | 照片 | 复数：photos |
| 15 | take photos | /teɪk ˈfəʊtəʊz/ | phr. | 拍照 | take a photo 拍一张照片 |
| 16 | camera | /ˈkæmərə/ | n. | 相机 | 复数：cameras |
| 17 | phone | /fəʊn/ | n. | 电话；手机 | ⭐mobile phone 手机；answer the phone 接电话 |
| 18 | call | /kɔːl/ | v. | 打电话；呼叫 | ⭐call sb. 给某人打电话 |
| 19 | answer | /ˈɑːnsə(r)/ | v. | 回答；接电话 | ⭐answer the phone 接电话 |
| 20 | ring | /rɪŋ/ | v. | （铃）响；打电话 | 时态：rang-rung-ringing；⭐The phone rings. 电话响了 |
| 21 | busy | /ˈbɪzi/ | adj. | 忙碌的 | ⭐be busy doing sth. 忙于做某事 |
| 22 | free | /friː/ | adj. | 自由的；免费的；空闲的 | ⭐be free 有空；free time 自由时间 |
| 23 | meet | /miːt/ | v. | 遇见；见面 | ⭐meet a friend 会见朋友；时态：met-met-meeting |
| 24 | talk | /tɔːk/ | v. | 谈话 | ⭐talk to/with sb. 与某人谈话；talk about 谈论 |
| 25 | speak | /spiːk/ | v. | 讲（语言）；说话 | ⭐speak English 讲英语；时态：spoke-spoken-speaking |
| 26 | say | /seɪ/ | v. | 说；讲 | ⭐say hello 打招呼；时态：said-said-saying |
| 27 | tell | /tel/ | v. | 告诉；讲述 | ⭐tell sb. sth. 告诉某人某事；时态：told-told-telling |
| 28 | hear | /hɪə(r)/ | v. | 听见；听到 | ⭐hear from sb. 收到某人的来信；时态：heard-heard-hearing |
| 29 | listen | /ˈlɪsn/ | v. | 听；倾听 | ⭐listen to 听……；现在分词：listening |
| 30 | sound | /saʊnd/ | n./v. | 声音；听起来 | ⭐sound + adj. 听起来…… |
| 31 | noise | /nɔɪz/ | n. | 噪音 | make a noise 制造噪音 |
| 32 | quiet | /ˈkwaɪət/ | adj. | 安静的 | 反义词：noisy；⭐keep quiet 保持安静 |
| 33 | loud | /laʊd/ | adj. | 响亮的；大声的 | 副词：loudly；⭐speak loud 大声说 |
| 34 | aloud | /əˈlaʊd/ | adv. | 大声地；出声地 | ⭐read aloud 大声朗读 |
| 35 | voice | /vɔɪs/ | n. | 嗓音 | 复数：voices；⭐in a low voice 低声地 |
| 36 | shout | /ʃaʊt/ | v. | 喊叫；大声说 | ⭐shout at sb. 对某人大喊大叫 |
| 37 | cry | /kraɪ/ | v. | 哭；喊叫 | 时态：cried-cried-crying |
| 38 | laugh | /lɑːf/ | v. | 笑 | ⭐laugh at 嘲笑；现在分词：laughing |
| 39 | smile | /smaɪl/ | v. | 微笑 | ⭐smile at sb. 对某人微笑 |
| 40 | show | /ʃəʊ/ | v. | 展示；给……看 | ⭐show sb. around 带某人参观；时态：showed-shown-showing |

---

## Unit 6 Rain or Shine（风雨无阻）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
|------|------|------|------|------|--------------|
| 1 | weather | /ˈweðə(r)/ | n. | 天气 | ⭐What's the weather like? 天气怎么样？ |
| 2 | sunny | /ˈsʌni/ | adj. | 晴朗的 | sun(n.)+y；⭐It's sunny. 天气晴朗 |
| 3 | cloudy | /ˈklaʊdi/ | adj. | 多云的 | cloud(n.)+y |
| 4 | rainy | /ˈreɪni/ | adj. | 下雨的 | rain(n.)+y |
| 5 | snowy | /ˈsnəʊi/ | adj. | 下雪的 | snow(n.)+y |
| 6 | windy | /ˈwɪndi/ | adj. | 多风的 | wind(n.)+y |
| 7 | foggy | /ˈfɒɡi/ | adj. | 有雾的 | fog(n.)+y |
| 8 | storm | /stɔːm/ | n. | 暴风雨 | 复数：storms |
| 9 | stormy | /ˈstɔːmi/ | adj. | 暴风雨的 | storm(n.)+y |
| 10 | temperature | /ˈtemprətʃə(r)/ | n. | 温度 | ⭐take one's temperature 量体温 |
| 11 | hot | /hɒt/ | adj. | 热的；辣的 | 比较级：hotter；⨁ It's hot. 天气热 |
| 12 | cold | /kəʊld/ | adj. | 冷的 | ⭐have a cold 感冒 |
| 13 | warm | /wɔːm/ | adj. | 温暖的 | ⭐warm up 热身；变暖 |
| 14 | cool | /kuːl/ | adj. | 凉爽的；酷的 | ⨁ stay cool 保持凉爽 |
| 15 | dry | /draɪ/ | adj. | 干的 | 反义词：wet |
| 16 | wet | /wet/ | adj. | 湿的 | 反义词：dry |
| 17 | humid | /ˈhjuːmɪd/ | adj. | 潮湿的 | - |
| 18 | season | /ˈsiːzn/ | n. | 季节 | 复数：seasons；⭐four seasons 四季 |
| 19 | spring | /sprɪŋ/ | n. | 春天 | ⭐in spring 在春天 |
| 20 | summer | /ˈsʌmə(r)/ | n. | 夏天 | ⭐in summer 在夏天 |
| 21 | autumn | /ˈɔːtəm/ | n. | 秋天 | ⭐in autumn 在秋天 |
| 22 | winter | /ˈwɪntə(r)/ | n. | 冬天 | ⭐in winter 在冬天 |
| 23 | rain | /reɪn/ | n./v. | 雨；下雨 | ⭐It rains. 下雨了；⨁ heavy rain 大雨 |
| 24 | snow | /snəʊ/ | n./v. | 雪；下雪 | ⭐It snows. 下雪了；⨁ heavy snow 大雪 |
| 25 | wind | /wɪnd/ | n. | 风 | ⭐strong wind 大风 |
| 26 | cloud | /klaʊd/ | n. | 云 | 复数：clouds；⨁ heavy clouds 乌云 |
| 27 | sun | /sʌn/ | n. | 太阳 | ⭐in the sun 在阳光下 |
| 28 | shine | /ʃaɪn/ | v. | 照耀；发光 | ⭐The sun shines. 太阳照耀 |
| 29 | shine bright | /ʃaɪn braɪt/ | v. | 照得明亮 | - |
| 30 | umbrella | /ʌmˈbrelə/ | n. | 雨伞 | 复数：umbrellas；⭐take an umbrella 带把伞 |
| 31 | raincoat | /ˈreɪnkəʊt/ | n. | 雨衣 | 复数：raincoats |
| 32 | sunglasses | /ˈsʌnɡlɑːsɪz/ | n. | 太阳镜 | 复数形式 |
| 33 | hat | /hæt/ | n. | 帽子 | 复数：hats |
| 34 | coat | /kəʊt/ | n. | 外套；大衣 | 复数：coats；⭐put on a coat 穿上外套 |
| 35 | sweater | /ˈswetə(r)/ | n. | 毛衣 | 复数：sweaters |
| 36 | scarf | /skɑːf/ | n. | 围巾 | 复数：scarves（f变ves）❌ |
| 37 | gloves | /ɡlʌvz/ | n. | 手套 | 复数形式；⭐wear gloves 戴手套 |
| 38 | boots | /buːts/ | n. | 靴子 | 复数形式；⭐wear boots 穿靴子 |
| 39 | outside | /ˌaʊtˈsaɪd/ | adv./n. | 在外面；外面 | ⭐go outside 出去；反义词：inside |
| 40 | inside | /ˌɪnˈsaɪd/ | adv./n. | 在里面；里面 | ⭐stay inside 待在里面 |

---

## Unit 7 A Day to Remember（难忘的一天）

| 序号 | 单词 | 音标 | 词性 | 释义 | 词形变化/搭配 |
|------|------|------|------|------|--------------|
| 1 | yesterday | /ˈjestədeɪ/ | adv. | 昨天 | ⭐yesterday morning 昨天早上 |
| 2 | today | /təˈdeɪ/ | adv. | 今天 | ⭐today is 今天是…… |
| 3 | tomorrow | /təˈmɒrəʊ/ | adv. | 明天 | ⭐tomorrow morning 明天早上 |
| 4 | weekend | /ˌwiːkˈend/ | n. | 周末 | ⭐at the weekend 在周末；on weekends 在周末 |
| 5 | weekday | /ˈwiːkdeɪ/ | n. | 工作日 | on weekdays 在工作日 |
| 6 | Monday | /ˈmʌndeɪ/ | n. | 星期一 | on Monday 在星期一 |
